Multiplier,0,,Dimensions,7,,Dim Range,100,,Perplexity,Calculated,,Batch Size,50,,PPC,50,,Step,1
Raw Model,1,22955.4413254357,7.0042,5/1/2019 1:15:00 AM,Best SSE,Mean SSE,Stdev SSE,Iters,Stdev Iters,Avg Dead, Stdev Dead,Avg Small, Stdev Small,Avg Pts,Stdev Pts,Avg C-SSE,Stdev C-SSE,Avg Rep,Stddev Rep,Avg All,Stdev All
RANDOM,2,2,50,5/1/2019 1:15:00 AM,22955.44,124637.06,47640.00,2.24,0.55,0.82,0.38,0.00,0.00,100.00,NaN,124637.06,47140.08,0.00,0.00,0.00,0.00
CLUSTER,2,2,50,5/1/2019 1:15:00 AM,22955.44,22955.44,NaN,2.08,0.27,0.00,0.00,0.00,0.00,100.00,NaN,22955.44,NaN,0.00,0.00,0.00,0.00
MaxSumK,2,2,50,5/1/2019 1:15:01 AM,22955.44,22955.44,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,22955.44,NaN,0.00,0.00,0.00,0.00
MaxiMinK,2,2,50,5/1/2019 1:15:01 AM,22955.44,22955.44,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,22955.44,NaN,0.00,0.00,0.00,0.00
CCCM-R m1,2,2,50,5/1/2019 1:15:01 AM,22955.44,22955.44,NaN,2.54,0.57,0.00,0.00,0.00,0.00,100.00,NaN,22955.44,NaN,0.00,0.00,0.00,0.00
CCCM-Min m1,2,2,50,5/1/2019 1:15:01 AM,22955.44,22955.44,NaN,2.44,0.50,0.00,0.00,0.00,0.00,100.00,NaN,22955.44,NaN,0.00,0.00,0.00,0.00
CCCM-R m2,2,2,50,5/1/2019 1:15:01 AM,22955.44,22955.44,NaN,2.16,0.37,0.00,0.00,0.00,0.00,100.00,NaN,22955.44,NaN,0.00,0.00,0.00,0.00
CCCM-Min m2,2,2,50,5/1/2019 1:15:01 AM,22955.44,22955.44,NaN,2.14,0.35,0.00,0.00,0.00,0.00,100.00,NaN,22955.44,NaN,0.00,0.00,0.00,0.00
CCCM-R m3,2,2,50,5/1/2019 1:15:01 AM,22955.44,22955.44,NaN,2.02,0.14,0.00,0.00,0.00,0.00,100.00,NaN,22955.44,NaN,0.00,0.00,0.00,0.00
CCCM-Min m3,2,2,50,5/1/2019 1:15:01 AM,22955.44,22955.44,NaN,2.02,0.14,0.00,0.00,0.00,0.00,100.00,NaN,22955.44,NaN,0.00,0.00,0.00,0.00
CCCM-R m4,2,2,50,5/1/2019 1:15:01 AM,22955.44,22955.44,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,22955.44,NaN,0.00,0.00,0.00,0.00
CCCM-Min m4,2,2,50,5/1/2019 1:15:01 AM,22955.44,22955.44,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,22955.44,NaN,0.00,0.00,0.00,0.00
CCCM-R m5,2,2,50,5/1/2019 1:15:01 AM,22955.44,22955.44,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,22955.44,NaN,0.00,0.00,0.00,0.00
CCCM-Min m5,2,2,50,5/1/2019 1:15:01 AM,22955.44,22955.44,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,22955.44,NaN,0.00,0.00,0.00,0.00
