Multiplier,0,,Dimensions,11,,Dim Range,100,,Perplexity,Calculated,,Batch Size,50,,PPC,50,,Step,1
Raw Model,1,35094.1392016085,8.0041,5/1/2019 3:35:33 AM,Best SSE,Mean SSE,Stdev SSE,Iters,Stdev Iters,Avg Dead, Stdev Dead,Avg Small, Stdev Small,Avg Pts,Stdev Pts,Avg C-SSE,Stdev C-SSE,Avg Rep,Stddev Rep,Avg All,Stdev All
RANDOM,2,2,50,5/1/2019 3:35:33 AM,35094.14,315287.97,316101.27,2.42,0.49,0.44,0.50,0.00,0.00,100.00,NaN,315287.97,315555.77,0.00,0.00,0.00,0.00
CLUSTER,2,2,50,5/1/2019 3:35:33 AM,35094.14,35094.14,0.00,2.06,0.24,0.00,0.00,0.00,0.00,100.00,NaN,35094.14,NaN,0.00,0.00,0.00,0.00
MaxSumK,2,2,50,5/1/2019 3:35:33 AM,35094.14,35094.14,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,35094.14,NaN,0.00,0.00,0.00,0.00
MaxiMinK,2,2,50,5/1/2019 3:35:33 AM,35094.14,35094.14,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,35094.14,NaN,0.00,0.00,0.00,0.00
CCCM-R m1,2,2,50,5/1/2019 3:35:33 AM,35094.14,35094.14,0.00,2.48,0.54,0.00,0.00,0.00,0.00,100.00,NaN,35094.14,NaN,0.00,0.00,0.00,0.00
CCCM-Min m1,2,2,50,5/1/2019 3:35:33 AM,35094.14,35094.14,0.00,2.60,0.53,0.00,0.00,0.00,0.00,100.00,NaN,35094.14,NaN,0.00,0.00,0.00,0.00
CCCM-R m2,2,2,50,5/1/2019 3:35:33 AM,35094.14,35094.14,0.00,2.14,0.35,0.00,0.00,0.00,0.00,100.00,NaN,35094.14,NaN,0.00,0.00,0.00,0.00
CCCM-Min m2,2,2,50,5/1/2019 3:35:33 AM,35094.14,35094.14,0.00,2.14,0.35,0.00,0.00,0.00,0.00,100.00,NaN,35094.14,NaN,0.00,0.00,0.00,0.00
CCCM-R m3,2,2,50,5/1/2019 3:35:33 AM,35094.14,35094.14,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,35094.14,NaN,0.00,0.00,0.00,0.00
CCCM-Min m3,2,2,50,5/1/2019 3:35:33 AM,35094.14,35094.14,0.00,2.02,0.14,0.00,0.00,0.00,0.00,100.00,NaN,35094.14,NaN,0.00,0.00,0.00,0.00
CCCM-R m4,2,2,50,5/1/2019 3:35:33 AM,35094.14,35094.14,0.00,2.02,0.14,0.00,0.00,0.00,0.00,100.00,NaN,35094.14,NaN,0.00,0.00,0.00,0.00
CCCM-Min m4,2,2,50,5/1/2019 3:35:33 AM,35094.14,35094.14,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,35094.14,NaN,0.00,0.00,0.00,0.00
CCCM-R m5,2,2,50,5/1/2019 3:35:33 AM,35094.14,35094.14,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,35094.14,NaN,0.00,0.00,0.00,0.00
CCCM-Min m5,2,2,50,5/1/2019 3:35:33 AM,35094.14,35094.14,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,35094.14,NaN,0.00,0.00,0.00,0.00
CCCM-R m6,2,2,50,5/1/2019 3:35:33 AM,35094.14,35094.14,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,35094.14,NaN,0.00,0.00,0.00,0.00
CCCM-Min m6,2,2,50,5/1/2019 3:35:33 AM,35094.14,35094.14,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,35094.14,NaN,0.00,0.00,0.00,0.00
CCCM-R m7,2,2,50,5/1/2019 3:35:33 AM,35094.14,35094.14,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,35094.14,NaN,0.00,0.00,0.00,0.00
CCCM-Min m7,2,2,50,5/1/2019 3:35:33 AM,35094.14,35094.14,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,35094.14,NaN,0.00,0.00,0.00,0.00
CCCM-MxMn m7,2,2,50,5/1/2019 3:35:33 AM,35094.14,35094.14,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,35094.14,NaN,0.00,0.00,0.00,0.00
Raw Model,1,35042.2337489504,111.0816,5/1/2019 3:35:33 AM,Best SSE,Mean SSE,Stdev SSE,Iters,Stdev Iters,Avg Dead, Stdev Dead,Avg Small, Stdev Small,Avg Pts,Stdev Pts,Avg C-SSE,Stdev C-SSE,Avg Rep,Stddev Rep,Avg All,Stdev All
RANDOM,2,2,50,5/1/2019 3:35:33 AM,35042.23,208686.20,124631.32,2.28,0.45,0.66,0.47,0.00,0.00,100.00,NaN,208686.20,123791.18,0.00,0.00,0.00,0.00
CLUSTER,2,2,50,5/1/2019 3:35:33 AM,35042.23,35042.23,NaN,2.10,0.30,0.00,0.00,0.00,0.00,100.00,NaN,35042.23,NaN,0.00,0.00,0.00,0.00
MaxSumK,2,2,50,5/1/2019 3:35:33 AM,35042.23,35042.23,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,35042.23,NaN,0.00,0.00,0.00,0.00
MaxiMinK,2,2,50,5/1/2019 3:35:33 AM,35042.23,35042.23,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,35042.23,NaN,0.00,0.00,0.00,0.00
CCCM-R m1,2,2,50,5/1/2019 3:35:33 AM,35042.23,35042.23,NaN,2.66,0.47,0.00,0.00,0.00,0.00,100.00,NaN,35042.23,NaN,0.00,0.00,0.00,0.00
CCCM-Min m1,2,2,50,5/1/2019 3:35:33 AM,35042.23,35042.23,NaN,2.38,0.52,0.00,0.00,0.00,0.00,100.00,NaN,35042.23,NaN,0.00,0.00,0.00,0.00
CCCM-R m2,2,2,50,5/1/2019 3:35:33 AM,35042.23,35042.23,NaN,2.10,0.30,0.00,0.00,0.00,0.00,100.00,NaN,35042.23,NaN,0.00,0.00,0.00,0.00
CCCM-Min m2,2,2,50,5/1/2019 3:35:33 AM,35042.23,35042.23,NaN,2.06,0.24,0.00,0.00,0.00,0.00,100.00,NaN,35042.23,NaN,0.00,0.00,0.00,0.00
CCCM-R m3,2,2,50,5/1/2019 3:35:33 AM,35042.23,35042.23,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,35042.23,NaN,0.00,0.00,0.00,0.00
CCCM-Min m3,2,2,50,5/1/2019 3:35:33 AM,35042.23,35042.23,NaN,2.02,0.14,0.00,0.00,0.00,0.00,100.00,NaN,35042.23,NaN,0.00,0.00,0.00,0.00
CCCM-R m4,2,2,50,5/1/2019 3:35:33 AM,35042.23,35042.23,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,35042.23,NaN,0.00,0.00,0.00,0.00
CCCM-Min m4,2,2,50,5/1/2019 3:35:33 AM,35042.23,35042.23,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,35042.23,NaN,0.00,0.00,0.00,0.00
CCCM-R m5,2,2,50,5/1/2019 3:35:33 AM,35042.23,35042.23,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,35042.23,NaN,0.00,0.00,0.00,0.00
