Multiplier,0,,Dimensions,21,,Dim Range,100,,Perplexity,Calculated,,Batch Size,50,,PPC,50,,Step,1
Raw Model,1,68978.5602181131,8.0057,5/1/2019 2:43:38 PM,Best SSE,Mean SSE,Stdev SSE,Iters,Stdev Iters,Avg Dead, Stdev Dead,Avg Small, Stdev Small,Avg Pts,Stdev Pts,Avg C-SSE,Stdev C-SSE,Avg Rep,Stddev Rep,Avg All,Stdev All
RANDOM,2,2,50,5/1/2019 2:43:38 PM,68978.56,575266.59,548549.25,2.26,0.44,0.46,0.50,0.00,0.00,100.00,NaN,575266.59,547378.41,0.00,0.00,0.00,0.00
CLUSTER,2,2,50,5/1/2019 2:43:38 PM,68978.56,68978.56,0.00,2.04,0.20,0.00,0.00,0.00,0.00,100.00,NaN,68978.56,NaN,0.00,0.00,0.00,0.00
MaxSumK,2,2,50,5/1/2019 2:43:38 PM,68978.56,68978.56,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,68978.56,NaN,0.00,0.00,0.00,0.00
MaxiMinK,2,2,50,5/1/2019 2:43:38 PM,68978.56,68978.56,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,68978.56,NaN,0.00,0.00,0.00,0.00
CCCM-R m1,2,2,50,5/1/2019 2:43:38 PM,68978.56,68978.56,0.00,2.58,0.49,0.00,0.00,0.00,0.00,100.00,NaN,68978.56,NaN,0.00,0.00,0.00,0.00
CCCM-Min m1,2,2,50,5/1/2019 2:43:38 PM,68978.56,68978.56,0.00,2.50,0.50,0.00,0.00,0.00,0.00,100.00,NaN,68978.56,NaN,0.00,0.00,0.00,0.00
CCCM-R m2,2,2,50,5/1/2019 2:43:38 PM,68978.56,68978.56,0.00,2.08,0.27,0.00,0.00,0.00,0.00,100.00,NaN,68978.56,NaN,0.00,0.00,0.00,0.00
CCCM-Min m2,2,2,50,5/1/2019 2:43:38 PM,68978.56,68978.56,0.00,2.08,0.27,0.00,0.00,0.00,0.00,100.00,NaN,68978.56,NaN,0.00,0.00,0.00,0.00
CCCM-R m3,2,2,50,5/1/2019 2:43:38 PM,68978.56,68978.56,0.00,2.02,0.14,0.00,0.00,0.00,0.00,100.00,NaN,68978.56,NaN,0.00,0.00,0.00,0.00
CCCM-Min m3,2,2,50,5/1/2019 2:43:38 PM,68978.56,68978.56,0.00,2.04,0.20,0.00,0.00,0.00,0.00,100.00,NaN,68978.56,NaN,0.00,0.00,0.00,0.00
CCCM-R m4,2,2,50,5/1/2019 2:43:38 PM,68978.56,68978.56,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,68978.56,NaN,0.00,0.00,0.00,0.00
CCCM-Min m4,2,2,50,5/1/2019 2:43:38 PM,68978.56,68978.56,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,68978.56,NaN,0.00,0.00,0.00,0.00
CCCM-R m5,2,2,50,5/1/2019 2:43:38 PM,68978.56,68978.56,0.00,2.02,0.14,0.00,0.00,0.00,0.00,100.00,NaN,68978.56,NaN,0.00,0.00,0.00,0.00
CCCM-Min m5,2,2,50,5/1/2019 2:43:38 PM,68978.56,68978.56,0.00,2.02,0.14,0.00,0.00,0.00,0.00,100.00,NaN,68978.56,NaN,0.00,0.00,0.00,0.00
CCCM-R m6,2,2,50,5/1/2019 2:43:38 PM,68978.56,68978.56,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,68978.56,NaN,0.00,0.00,0.00,0.00
CCCM-Min m6,2,2,50,5/1/2019 2:43:38 PM,68978.56,68978.56,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,68978.56,NaN,0.00,0.00,0.00,0.00
CCCM-R m7,2,2,50,5/1/2019 2:43:38 PM,68978.56,68978.56,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,68978.56,NaN,0.00,0.00,0.00,0.00
CCCM-Min m7,2,2,50,5/1/2019 2:43:38 PM,68978.56,68978.56,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,68978.56,NaN,0.00,0.00,0.00,0.00
CCCM-MxMn m7,2,2,50,5/1/2019 2:43:38 PM,68978.56,68978.56,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,68978.56,NaN,0.00,0.00,0.00,0.00
Raw Model,1,69507.3506678056,178.1254,5/1/2019 2:43:38 PM,Best SSE,Mean SSE,Stdev SSE,Iters,Stdev Iters,Avg Dead, Stdev Dead,Avg Small, Stdev Small,Avg Pts,Stdev Pts,Avg C-SSE,Stdev C-SSE,Avg Rep,Stddev Rep,Avg All,Stdev All
RANDOM,2,2,50,5/1/2019 2:43:38 PM,69507.35,554385.17,447521.96,2.28,0.45,0.54,0.50,0.00,0.00,100.00,NaN,554385.17,446279.45,0.00,0.00,0.00,0.00
CLUSTER,2,2,50,5/1/2019 2:43:38 PM,69507.35,69507.35,0.00,2.06,0.24,0.00,0.00,0.00,0.00,100.00,NaN,69507.35,NaN,0.00,0.00,0.00,0.00
MaxSumK,2,2,50,5/1/2019 2:43:38 PM,69507.35,69507.35,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,69507.35,NaN,0.00,0.00,0.00,0.00
MaxiMinK,2,2,50,5/1/2019 2:43:38 PM,69507.35,69507.35,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,69507.35,NaN,0.00,0.00,0.00,0.00
CCCM-R m1,2,2,50,5/1/2019 2:43:38 PM,69507.35,69507.35,0.00,2.62,0.52,0.00,0.00,0.00,0.00,100.00,NaN,69507.35,NaN,0.00,0.00,0.00,0.00
CCCM-Min m1,2,2,50,5/1/2019 2:43:38 PM,69507.35,69507.35,0.00,2.42,0.49,0.00,0.00,0.00,0.00,100.00,NaN,69507.35,NaN,0.00,0.00,0.00,0.00
CCCM-R m2,2,2,50,5/1/2019 2:43:38 PM,69507.35,69507.35,0.00,2.12,0.32,0.00,0.00,0.00,0.00,100.00,NaN,69507.35,NaN,0.00,0.00,0.00,0.00
CCCM-Min m2,2,2,50,5/1/2019 2:43:38 PM,69507.35,69507.35,0.00,2.06,0.24,0.00,0.00,0.00,0.00,100.00,NaN,69507.35,NaN,0.00,0.00,0.00,0.00
CCCM-R m3,2,2,50,5/1/2019 2:43:38 PM,69507.35,69507.35,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,69507.35,NaN,0.00,0.00,0.00,0.00
CCCM-Min m3,2,2,50,5/1/2019 2:43:38 PM,69507.35,69507.35,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,69507.35,NaN,0.00,0.00,0.00,0.00
CCCM-R m4,2,2,50,5/1/2019 2:43:38 PM,69507.35,69507.35,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,69507.35,NaN,0.00,0.00,0.00,0.00
CCCM-Min m4,2,2,50,5/1/2019 2:43:38 PM,69507.35,69507.35,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,69507.35,NaN,0.00,0.00,0.00,0.00
CCCM-R m5,2,2,50,5/1/2019 2:43:38 PM,69507.35,69507.35,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,69507.35,NaN,0.00,0.00,0.00,0.00
CCCM-Min m5,2,2,50,5/1/2019 2:43:38 PM,69507.35,69507.35,0.00,2.02,0.14,0.00,0.00,0.00,0.00,100.00,NaN,69507.35,NaN,0.00,0.00,0.00,0.00
CCCM-R m6,2,2,50,5/1/2019 2:43:38 PM,69507.35,69507.35,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,69507.35,NaN,0.00,0.00,0.00,0.00
CCCM-Min m6,2,2,50,5/1/2019 2:43:38 PM,69507.35,69507.35,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,69507.35,NaN,0.00,0.00,0.00,0.00
CCCM-R m7,2,2,50,5/1/2019 2:43:38 PM,69507.35,69507.35,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,69507.35,NaN,0.00,0.00,0.00,0.00
CCCM-Min m7,2,2,50,5/1/2019 2:43:38 PM,69507.35,69507.35,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,69507.35,NaN,0.00,0.00,0.00,0.00
CCCM-MxMn m7,2,2,50,5/1/2019 2:43:38 PM,69507.35,69507.35,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,69507.35,NaN,0.00,0.00,0.00,0.00
Raw Model,1,68978.3714302195,147.1039,5/1/2019 2:43:38 PM,Best SSE,Mean SSE,Stdev SSE,Iters,Stdev Iters,Avg Dead, Stdev Dead,Avg Small, Stdev Small,Avg Pts,Stdev Pts,Avg C-SSE,Stdev C-SSE,Avg Rep,Stddev Rep,Avg All,Stdev All
RANDOM,2,2,50,5/1/2019 2:43:38 PM,68978.37,619828.93,377880.37,2.18,0.38,0.68,0.47,0.00,0.00,100.00,NaN,619828.93,376871.76,0.00,0.00,0.00,0.00
CLUSTER,2,2,50,5/1/2019 2:43:38 PM,68978.37,68978.37,NaN,2.06,0.24,0.00,0.00,0.00,0.00,100.00,NaN,68978.37,NaN,0.00,0.00,0.00,0.00
MaxSumK,2,2,50,5/1/2019 2:43:38 PM,68978.37,68978.37,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,68978.37,NaN,0.00,0.00,0.00,0.00
