Multiplier,0,,Dimensions,25,,Dim Range,100,,Perplexity,Calculated,,Batch Size,50,,PPC,50,,Step,1
Raw Model,1,81733.6917770228,7.5055,5/1/2019 8:43:33 PM,Best SSE,Mean SSE,Stdev SSE,Iters,Stdev Iters,Avg Dead, Stdev Dead,Avg Small, Stdev Small,Avg Pts,Stdev Pts,Avg C-SSE,Stdev C-SSE,Avg Rep,Stddev Rep,Avg All,Stdev All
RANDOM,2,2,50,5/1/2019 8:43:33 PM,81733.69,659221.39,625692.14,2.32,0.47,0.46,0.50,0.00,0.00,100.00,NaN,659221.39,624249.32,0.00,0.00,0.00,0.00
CLUSTER,2,2,50,5/1/2019 8:43:33 PM,81733.69,81733.69,0.00,2.06,0.24,0.00,0.00,0.00,0.00,100.00,NaN,81733.69,NaN,0.00,0.00,0.00,0.00
MaxSumK,2,2,50,5/1/2019 8:43:33 PM,81733.69,81733.69,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,81733.69,NaN,0.00,0.00,0.00,0.00
MaxiMinK,2,2,50,5/1/2019 8:43:33 PM,81733.69,81733.69,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,81733.69,NaN,0.00,0.00,0.00,0.00
CCCM-R m1,2,2,50,5/1/2019 8:43:33 PM,81733.69,81733.69,0.00,2.56,0.50,0.00,0.00,0.00,0.00,100.00,NaN,81733.69,NaN,0.00,0.00,0.00,0.00
CCCM-Min m1,2,2,50,5/1/2019 8:43:33 PM,81733.69,81733.69,0.00,2.52,0.50,0.00,0.00,0.00,0.00,100.00,NaN,81733.69,NaN,0.00,0.00,0.00,0.00
CCCM-R m2,2,2,50,5/1/2019 8:43:33 PM,81733.69,81733.69,0.00,2.08,0.27,0.00,0.00,0.00,0.00,100.00,NaN,81733.69,NaN,0.00,0.00,0.00,0.00
CCCM-Min m2,2,2,50,5/1/2019 8:43:33 PM,81733.69,81733.69,0.00,2.24,0.43,0.00,0.00,0.00,0.00,100.00,NaN,81733.69,NaN,0.00,0.00,0.00,0.00
CCCM-R m3,2,2,50,5/1/2019 8:43:33 PM,81733.69,81733.69,0.00,2.02,0.14,0.00,0.00,0.00,0.00,100.00,NaN,81733.69,NaN,0.00,0.00,0.00,0.00
CCCM-Min m3,2,2,50,5/1/2019 8:43:33 PM,81733.69,81733.69,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,81733.69,NaN,0.00,0.00,0.00,0.00
CCCM-R m4,2,2,50,5/1/2019 8:43:33 PM,81733.69,81733.69,0.00,2.02,0.14,0.00,0.00,0.00,0.00,100.00,NaN,81733.69,NaN,0.00,0.00,0.00,0.00
CCCM-Min m4,2,2,50,5/1/2019 8:43:33 PM,81733.69,81733.69,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,81733.69,NaN,0.00,0.00,0.00,0.00
CCCM-R m5,2,2,50,5/1/2019 8:43:33 PM,81733.69,81733.69,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,81733.69,NaN,0.00,0.00,0.00,0.00
CCCM-Min m5,2,2,50,5/1/2019 8:43:33 PM,81733.69,81733.69,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,81733.69,NaN,0.00,0.00,0.00,0.00
CCCM-R m6,2,2,50,5/1/2019 8:43:33 PM,81733.69,81733.69,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,81733.69,NaN,0.00,0.00,0.00,0.00
CCCM-Min m6,2,2,50,5/1/2019 8:43:33 PM,81733.69,81733.69,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,81733.69,NaN,0.00,0.00,0.00,0.00
