Multiplier,0,,Dimensions,23,,Dim Range,100,,Perplexity,Calculated,,Batch Size,50,,PPC,50,,Step,1
Raw Model,1,76244.8703732052,8.0065,5/1/2019 6:33:06 PM,Best SSE,Mean SSE,Stdev SSE,Iters,Stdev Iters,Avg Dead, Stdev Dead,Avg Small, Stdev Small,Avg Pts,Stdev Pts,Avg C-SSE,Stdev C-SSE,Avg Rep,Stddev Rep,Avg All,Stdev All
RANDOM,2,2,50,5/1/2019 6:33:06 PM,76244.87,434524.49,574525.53,2.34,0.47,0.28,0.45,0.00,0.00,100.00,NaN,434524.49,572703.37,0.00,0.00,0.00,0.00
CLUSTER,2,2,50,5/1/2019 6:33:06 PM,76244.87,76244.87,NaN,2.02,0.14,0.00,0.00,0.00,0.00,100.00,NaN,76244.87,NaN,0.00,0.00,0.00,0.00
MaxSumK,2,2,50,5/1/2019 6:33:06 PM,76244.87,76244.87,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,76244.87,NaN,0.00,0.00,0.00,0.00
MaxiMinK,2,2,50,5/1/2019 6:33:06 PM,76244.87,76244.87,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,76244.87,NaN,0.00,0.00,0.00,0.00
CCCM-R m1,2,2,50,5/1/2019 6:33:06 PM,76244.87,76244.87,NaN,2.46,0.50,0.00,0.00,0.00,0.00,100.00,NaN,76244.87,NaN,0.00,0.00,0.00,0.00
CCCM-Min m1,2,2,50,5/1/2019 6:33:06 PM,76244.87,76244.87,NaN,2.42,0.53,0.00,0.00,0.00,0.00,100.00,NaN,76244.87,NaN,0.00,0.00,0.00,0.00
CCCM-R m2,2,2,50,5/1/2019 6:33:06 PM,76244.87,76244.87,NaN,2.12,0.32,0.00,0.00,0.00,0.00,100.00,NaN,76244.87,NaN,0.00,0.00,0.00,0.00
CCCM-Min m2,2,2,50,5/1/2019 6:33:06 PM,76244.87,76244.87,NaN,2.18,0.38,0.00,0.00,0.00,0.00,100.00,NaN,76244.87,NaN,0.00,0.00,0.00,0.00
CCCM-R m3,2,2,50,5/1/2019 6:33:06 PM,76244.87,76244.87,NaN,2.02,0.14,0.00,0.00,0.00,0.00,100.00,NaN,76244.87,NaN,0.00,0.00,0.00,0.00
CCCM-Min m3,2,2,50,5/1/2019 6:33:06 PM,76244.87,76244.87,NaN,2.04,0.20,0.00,0.00,0.00,0.00,100.00,NaN,76244.87,NaN,0.00,0.00,0.00,0.00
CCCM-R m4,2,2,50,5/1/2019 6:33:06 PM,76244.87,76244.87,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,76244.87,NaN,0.00,0.00,0.00,0.00
CCCM-Min m4,2,2,50,5/1/2019 6:33:06 PM,76244.87,76244.87,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,76244.87,NaN,0.00,0.00,0.00,0.00
CCCM-R m5,2,2,50,5/1/2019 6:33:06 PM,76244.87,76244.87,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,76244.87,NaN,0.00,0.00,0.00,0.00
CCCM-Min m5,2,2,50,5/1/2019 6:33:06 PM,76244.87,76244.87,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,76244.87,NaN,0.00,0.00,0.00,0.00
CCCM-R m6,2,2,50,5/1/2019 6:33:06 PM,76244.87,76244.87,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,76244.87,NaN,0.00,0.00,0.00,0.00
CCCM-Min m6,2,2,50,5/1/2019 6:33:06 PM,76244.87,76244.87,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,76244.87,NaN,0.00,0.00,0.00,0.00
CCCM-R m7,2,2,50,5/1/2019 6:33:06 PM,76244.87,76244.87,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,76244.87,NaN,0.00,0.00,0.00,0.00
CCCM-Min m7,2,2,50,5/1/2019 6:33:06 PM,76244.87,76244.87,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,76244.87,NaN,0.00,0.00,0.00,0.00
CCCM-MxMn m7,2,2,50,5/1/2019 6:33:06 PM,76244.87,76244.87,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,76244.87,NaN,0.00,0.00,0.00,0.00
