Multiplier,0,,Dimensions,5,,Dim Range,100,,Perplexity,Calculated,,Batch Size,50,,PPC,50,,Step,1
Raw Model,1,15845.8322519811,9.0063,5/1/2019 12:04:05 AM,Best SSE,Mean SSE,Stdev SSE,Iters,Stdev Iters,Avg Dead, Stdev Dead,Avg Small, Stdev Small,Avg Pts,Stdev Pts,Avg C-SSE,Stdev C-SSE,Avg Rep,Stddev Rep,Avg All,Stdev All
RANDOM,2,2,50,5/1/2019 12:04:05 AM,15845.83,52388.52,12180.90,2.16,0.50,0.90,0.30,0.00,0.00,100.00,NaN,52388.52,11654.38,0.00,0.00,0.00,0.00
CLUSTER,2,2,50,5/1/2019 12:04:05 AM,15845.83,15845.83,0.00,2.32,0.51,0.00,0.00,0.00,0.00,100.00,NaN,15845.83,NaN,0.00,0.00,0.00,0.00
MaxSumK,2,2,50,5/1/2019 12:04:05 AM,15845.83,15845.83,0.00,2.22,0.41,0.00,0.00,0.00,0.00,100.00,NaN,15845.83,NaN,0.00,0.00,0.00,0.00
MaxiMinK,2,2,50,5/1/2019 12:04:05 AM,15845.83,15845.83,0.00,2.26,0.44,0.00,0.00,0.00,0.00,100.00,NaN,15845.83,NaN,0.00,0.00,0.00,0.00
CCCM-R m1,2,2,50,5/1/2019 12:04:05 AM,15845.83,15845.83,0.00,2.76,0.76,0.00,0.00,0.00,0.00,100.00,NaN,15845.83,NaN,0.00,0.00,0.00,0.00
CCCM-Min m1,2,2,50,5/1/2019 12:04:05 AM,15845.83,15845.83,0.00,2.80,0.85,0.00,0.00,0.00,0.00,100.00,NaN,15845.83,NaN,0.00,0.00,0.00,0.00
CCCM-R m2,2,2,50,5/1/2019 12:04:05 AM,15845.83,15845.83,0.00,2.26,0.63,0.00,0.00,0.00,0.00,100.00,NaN,15845.83,NaN,0.00,0.00,0.00,0.00
CCCM-Min m2,2,2,50,5/1/2019 12:04:05 AM,15845.83,15845.83,0.00,2.16,0.42,0.00,0.00,0.00,0.00,100.00,NaN,15845.83,NaN,0.00,0.00,0.00,0.00
CCCM-R m3,2,2,50,5/1/2019 12:04:05 AM,15845.83,15845.83,0.00,2.12,0.32,0.00,0.00,0.00,0.00,100.00,NaN,15845.83,NaN,0.00,0.00,0.00,0.00
CCCM-Min m3,2,2,50,5/1/2019 12:04:05 AM,15845.83,15845.83,0.00,2.10,0.30,0.00,0.00,0.00,0.00,100.00,NaN,15845.83,NaN,0.00,0.00,0.00,0.00
CCCM-R m4,2,2,50,5/1/2019 12:04:05 AM,15845.83,15845.83,0.00,2.10,0.30,0.00,0.00,0.00,0.00,100.00,NaN,15845.83,NaN,0.00,0.00,0.00,0.00
CCCM-Min m4,2,2,50,5/1/2019 12:04:05 AM,15845.83,15845.83,0.00,2.04,0.20,0.00,0.00,0.00,0.00,100.00,NaN,15845.83,NaN,0.00,0.00,0.00,0.00
CCCM-R m5,2,2,50,5/1/2019 12:04:05 AM,15845.83,15845.83,0.00,2.04,0.20,0.00,0.00,0.00,0.00,100.00,NaN,15845.83,NaN,0.00,0.00,0.00,0.00
CCCM-Min m5,2,2,50,5/1/2019 12:04:05 AM,15845.83,15845.83,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,15845.83,NaN,0.00,0.00,0.00,0.00
CCCM-R m6,2,2,50,5/1/2019 12:04:05 AM,15845.83,15845.83,0.00,2.12,0.38,0.00,0.00,0.00,0.00,100.00,NaN,15845.83,NaN,0.00,0.00,0.00,0.00
CCCM-Min m6,2,2,50,5/1/2019 12:04:05 AM,15845.83,15845.83,0.00,2.02,0.14,0.00,0.00,0.00,0.00,100.00,NaN,15845.83,NaN,0.00,0.00,0.00,0.00
CCCM-R m7,2,2,50,5/1/2019 12:04:05 AM,15845.83,15845.83,0.00,2.08,0.27,0.00,0.00,0.00,0.00,100.00,NaN,15845.83,NaN,0.00,0.00,0.00,0.00
CCCM-Min m7,2,2,50,5/1/2019 12:04:05 AM,15845.83,15845.83,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,15845.83,NaN,0.00,0.00,0.00,0.00
