Multiplier,0,,Dimensions,9,,Dim Range,100,,Perplexity,Calculated,,Batch Size,50,,PPC,50,,Step,1
Raw Model,1,29151.486971013,8.507,5/1/2019 2:23:24 AM,Best SSE,Mean SSE,Stdev SSE,Iters,Stdev Iters,Avg Dead, Stdev Dead,Avg Small, Stdev Small,Avg Pts,Stdev Pts,Avg C-SSE,Stdev C-SSE,Avg Rep,Stddev Rep,Avg All,Stdev All
RANDOM,2,2,50,5/1/2019 2:23:24 AM,29151.49,294368.18,276046.28,2.28,0.45,0.48,0.50,0.00,0.00,100.00,NaN,294368.18,275646.01,0.00,0.00,0.00,0.00
CLUSTER,2,2,50,5/1/2019 2:23:24 AM,29151.49,29151.49,NaN,2.02,0.14,0.00,0.00,0.00,0.00,100.00,NaN,29151.49,NaN,0.00,0.00,0.00,0.00
MaxSumK,2,2,50,5/1/2019 2:23:24 AM,29151.49,29151.49,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,29151.49,NaN,0.00,0.00,0.00,0.00
MaxiMinK,2,2,50,5/1/2019 2:23:24 AM,29151.49,29151.49,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,29151.49,NaN,0.00,0.00,0.00,0.00
CCCM-R m1,2,2,50,5/1/2019 2:23:24 AM,29151.49,29151.49,NaN,2.56,0.54,0.00,0.00,0.00,0.00,100.00,NaN,29151.49,NaN,0.00,0.00,0.00,0.00
CCCM-Min m1,2,2,50,5/1/2019 2:23:24 AM,29151.49,29151.49,NaN,2.42,0.49,0.00,0.00,0.00,0.00,100.00,NaN,29151.49,NaN,0.00,0.00,0.00,0.00
CCCM-R m2,2,2,50,5/1/2019 2:23:24 AM,29151.49,29151.49,NaN,2.08,0.27,0.00,0.00,0.00,0.00,100.00,NaN,29151.49,NaN,0.00,0.00,0.00,0.00
CCCM-Min m2,2,2,50,5/1/2019 2:23:24 AM,29151.49,29151.49,NaN,2.16,0.37,0.00,0.00,0.00,0.00,100.00,NaN,29151.49,NaN,0.00,0.00,0.00,0.00
CCCM-R m3,2,2,50,5/1/2019 2:23:24 AM,29151.49,29151.49,NaN,2.04,0.20,0.00,0.00,0.00,0.00,100.00,NaN,29151.49,NaN,0.00,0.00,0.00,0.00
CCCM-Min m3,2,2,50,5/1/2019 2:23:24 AM,29151.49,29151.49,NaN,2.02,0.14,0.00,0.00,0.00,0.00,100.00,NaN,29151.49,NaN,0.00,0.00,0.00,0.00
