Multiplier,0,,Dimensions,17,,Dim Range,100,,Perplexity,Calculated,,Batch Size,50,,PPC,50,,Step,1
Raw Model,1,55111.7220131812,8.006,5/1/2019 4:45:13 PM,Best SSE,Mean SSE,Stdev SSE,Iters,Stdev Iters,Avg Dead, Stdev Dead,Avg Small, Stdev Small,Avg Pts,Stdev Pts,Avg C-SSE,Stdev C-SSE,Avg Rep,Stddev Rep,Avg All,Stdev All
RANDOM,2,2,50,5/1/2019 4:45:13 PM,55111.72,270598.30,243101.65,2.36,0.48,0.44,0.50,0.00,0.00,100.00,NaN,270598.30,241346.21,0.00,0.00,0.00,0.00
CLUSTER,2,2,50,5/1/2019 4:45:13 PM,55111.72,55111.72,0.00,2.02,0.14,0.00,0.00,0.00,0.00,100.00,NaN,55111.72,NaN,0.00,0.00,0.00,0.00
MaxSumK,2,2,50,5/1/2019 4:45:13 PM,55111.72,55111.72,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,55111.72,NaN,0.00,0.00,0.00,0.00
MaxiMinK,2,2,50,5/1/2019 4:45:13 PM,55111.72,55111.72,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,55111.72,NaN,0.00,0.00,0.00,0.00
CCCM-R m1,2,2,50,5/1/2019 4:45:13 PM,55111.72,55111.72,0.00,2.50,0.50,0.00,0.00,0.00,0.00,100.00,NaN,55111.72,NaN,0.00,0.00,0.00,0.00
CCCM-Min m1,2,2,50,5/1/2019 4:45:13 PM,55111.72,55111.72,0.00,2.48,0.50,0.00,0.00,0.00,0.00,100.00,NaN,55111.72,NaN,0.00,0.00,0.00,0.00
CCCM-R m2,2,2,50,5/1/2019 4:45:13 PM,55111.72,55111.72,0.00,2.08,0.27,0.00,0.00,0.00,0.00,100.00,NaN,55111.72,NaN,0.00,0.00,0.00,0.00
CCCM-Min m2,2,2,50,5/1/2019 4:45:13 PM,55111.72,55111.72,0.00,2.18,0.38,0.00,0.00,0.00,0.00,100.00,NaN,55111.72,NaN,0.00,0.00,0.00,0.00
CCCM-R m3,2,2,50,5/1/2019 4:45:13 PM,55111.72,55111.72,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,55111.72,NaN,0.00,0.00,0.00,0.00
CCCM-Min m3,2,2,50,5/1/2019 4:45:13 PM,55111.72,55111.72,0.00,2.02,0.14,0.00,0.00,0.00,0.00,100.00,NaN,55111.72,NaN,0.00,0.00,0.00,0.00
CCCM-R m4,2,2,50,5/1/2019 4:45:13 PM,55111.72,55111.72,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,55111.72,NaN,0.00,0.00,0.00,0.00
CCCM-Min m4,2,2,50,5/1/2019 4:45:13 PM,55111.72,55111.72,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,55111.72,NaN,0.00,0.00,0.00,0.00
CCCM-R m5,2,2,50,5/1/2019 4:45:13 PM,55111.72,55111.72,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,55111.72,NaN,0.00,0.00,0.00,0.00
CCCM-Min m5,2,2,50,5/1/2019 4:45:13 PM,55111.72,55111.72,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,55111.72,NaN,0.00,0.00,0.00,0.00
CCCM-R m6,2,2,50,5/1/2019 4:45:13 PM,55111.72,55111.72,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,55111.72,NaN,0.00,0.00,0.00,0.00
CCCM-Min m6,2,2,50,5/1/2019 4:45:13 PM,55111.72,55111.72,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,55111.72,NaN,0.00,0.00,0.00,0.00
CCCM-R m7,2,2,50,5/1/2019 4:45:13 PM,55111.72,55111.72,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,55111.72,NaN,0.00,0.00,0.00,0.00
CCCM-Min m7,2,2,50,5/1/2019 4:45:13 PM,55111.72,55111.72,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,55111.72,NaN,0.00,0.00,0.00,0.00
CCCM-MxMn m7,2,2,50,5/1/2019 4:45:13 PM,55111.72,55111.72,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,55111.72,NaN,0.00,0.00,0.00,0.00
Raw Model,1,57551.3381339164,196.1378,5/1/2019 4:45:13 PM,Best SSE,Mean SSE,Stdev SSE,Iters,Stdev Iters,Avg Dead, Stdev Dead,Avg Small, Stdev Small,Avg Pts,Stdev Pts,Avg C-SSE,Stdev C-SSE,Avg Rep,Stddev Rep,Avg All,Stdev All
RANDOM,2,2,50,5/1/2019 4:45:13 PM,57551.34,412992.80,369955.21,2.34,0.47,0.48,0.50,0.00,0.00,100.00,NaN,412992.80,368790.12,0.00,0.00,0.00,0.00
CLUSTER,2,2,50,5/1/2019 4:45:13 PM,57551.34,57551.34,0.00,2.04,0.20,0.00,0.00,0.00,0.00,100.00,NaN,57551.34,NaN,0.00,0.00,0.00,0.00
MaxSumK,2,2,50,5/1/2019 4:45:13 PM,57551.34,57551.34,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,57551.34,NaN,0.00,0.00,0.00,0.00
MaxiMinK,2,2,50,5/1/2019 4:45:13 PM,57551.34,57551.34,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,57551.34,NaN,0.00,0.00,0.00,0.00
CCCM-R m1,2,2,50,5/1/2019 4:45:13 PM,57551.34,57551.34,0.00,2.54,0.54,0.00,0.00,0.00,0.00,100.00,NaN,57551.34,NaN,0.00,0.00,0.00,0.00
CCCM-Min m1,2,2,50,5/1/2019 4:45:13 PM,57551.34,57551.34,0.00,2.60,0.49,0.00,0.00,0.00,0.00,100.00,NaN,57551.34,NaN,0.00,0.00,0.00,0.00
CCCM-R m2,2,2,50,5/1/2019 4:45:13 PM,57551.34,57551.34,0.00,2.06,0.24,0.00,0.00,0.00,0.00,100.00,NaN,57551.34,NaN,0.00,0.00,0.00,0.00
CCCM-Min m2,2,2,50,5/1/2019 4:45:13 PM,57551.34,57551.34,0.00,2.10,0.30,0.00,0.00,0.00,0.00,100.00,NaN,57551.34,NaN,0.00,0.00,0.00,0.00
CCCM-R m3,2,2,50,5/1/2019 4:45:13 PM,57551.34,57551.34,0.00,2.04,0.20,0.00,0.00,0.00,0.00,100.00,NaN,57551.34,NaN,0.00,0.00,0.00,0.00
CCCM-Min m3,2,2,50,5/1/2019 4:45:13 PM,57551.34,57551.34,0.00,2.04,0.20,0.00,0.00,0.00,0.00,100.00,NaN,57551.34,NaN,0.00,0.00,0.00,0.00
CCCM-R m4,2,2,50,5/1/2019 4:45:13 PM,57551.34,57551.34,0.00,2.02,0.14,0.00,0.00,0.00,0.00,100.00,NaN,57551.34,NaN,0.00,0.00,0.00,0.00
CCCM-Min m4,2,2,50,5/1/2019 4:45:13 PM,57551.34,57551.34,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,57551.34,NaN,0.00,0.00,0.00,0.00
CCCM-R m5,2,2,50,5/1/2019 4:45:13 PM,57551.34,57551.34,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,57551.34,NaN,0.00,0.00,0.00,0.00
CCCM-Min m5,2,2,50,5/1/2019 4:45:13 PM,57551.34,57551.34,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,57551.34,NaN,0.00,0.00,0.00,0.00
CCCM-R m6,2,2,50,5/1/2019 4:45:13 PM,57551.34,57551.34,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,57551.34,NaN,0.00,0.00,0.00,0.00
CCCM-Min m6,2,2,50,5/1/2019 4:45:13 PM,57551.34,57551.34,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,57551.34,NaN,0.00,0.00,0.00,0.00
CCCM-R m7,2,2,50,5/1/2019 4:45:13 PM,57551.34,57551.34,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,57551.34,NaN,0.00,0.00,0.00,0.00
