Multiplier,0,,Dimensions,3,,Dim Range,100,,Perplexity,Calculated,,Batch Size,50,,PPC,50,,Step,1
Raw Model,1,9226.71573162551,8.0057,4/30/2019 10:31:45 PM,Best SSE,Mean SSE,Stdev SSE,Iters,Stdev Iters,Avg Dead, Stdev Dead,Avg Small, Stdev Small,Avg Pts,Stdev Pts,Avg C-SSE,Stdev C-SSE,Avg Rep,Stddev Rep,Avg All,Stdev All
RANDOM,2,2,50,4/30/2019 10:31:45 PM,9226.72,51399.18,67626.40,2.28,0.45,0.28,0.45,0.00,0.00,100.00,NaN,51399.18,67399.44,0.00,0.00,0.00,0.00
CLUSTER,2,2,50,4/30/2019 10:31:45 PM,9226.72,9226.72,0.00,2.06,0.24,0.00,0.00,0.00,0.00,100.00,NaN,9226.72,NaN,0.00,0.00,0.00,0.00
MaxSumK,2,2,50,4/30/2019 10:31:45 PM,9226.72,9226.72,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,9226.72,NaN,0.00,0.00,0.00,0.00
MaxiMinK,2,2,50,4/30/2019 10:31:45 PM,9226.72,9226.72,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,9226.72,NaN,0.00,0.00,0.00,0.00
CCCM-R m1,2,2,50,4/30/2019 10:31:45 PM,9226.72,9226.72,0.00,2.46,0.50,0.00,0.00,0.00,0.00,100.00,NaN,9226.72,NaN,0.00,0.00,0.00,0.00
CCCM-Min m1,2,2,50,4/30/2019 10:31:45 PM,9226.72,9226.72,0.00,2.60,0.49,0.00,0.00,0.00,0.00,100.00,NaN,9226.72,NaN,0.00,0.00,0.00,0.00
CCCM-R m2,2,2,50,4/30/2019 10:31:45 PM,9226.72,9226.72,0.00,2.16,0.42,0.00,0.00,0.00,0.00,100.00,NaN,9226.72,NaN,0.00,0.00,0.00,0.00
CCCM-Min m2,2,2,50,4/30/2019 10:31:45 PM,9226.72,9226.72,0.00,2.14,0.35,0.00,0.00,0.00,0.00,100.00,NaN,9226.72,NaN,0.00,0.00,0.00,0.00
CCCM-R m3,2,2,50,4/30/2019 10:31:45 PM,9226.72,9226.72,0.00,2.02,0.14,0.00,0.00,0.00,0.00,100.00,NaN,9226.72,NaN,0.00,0.00,0.00,0.00
CCCM-Min m3,2,2,50,4/30/2019 10:31:45 PM,9226.72,9226.72,0.00,2.02,0.14,0.00,0.00,0.00,0.00,100.00,NaN,9226.72,NaN,0.00,0.00,0.00,0.00
CCCM-R m4,2,2,50,4/30/2019 10:31:45 PM,9226.72,9226.72,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,9226.72,NaN,0.00,0.00,0.00,0.00
CCCM-Min m4,2,2,50,4/30/2019 10:31:45 PM,9226.72,9226.72,0.00,2.04,0.20,0.00,0.00,0.00,0.00,100.00,NaN,9226.72,NaN,0.00,0.00,0.00,0.00
CCCM-R m5,2,2,50,4/30/2019 10:31:45 PM,9226.72,9226.72,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,9226.72,NaN,0.00,0.00,0.00,0.00
CCCM-Min m5,2,2,50,4/30/2019 10:31:45 PM,9226.72,9226.72,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,9226.72,NaN,0.00,0.00,0.00,0.00
CCCM-R m6,2,2,50,4/30/2019 10:31:45 PM,9226.72,9226.72,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,9226.72,NaN,0.00,0.00,0.00,0.00
CCCM-Min m6,2,2,50,4/30/2019 10:31:45 PM,9226.72,9226.72,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,9226.72,NaN,0.00,0.00,0.00,0.00
CCCM-R m7,2,2,50,4/30/2019 10:31:45 PM,9226.72,9226.72,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,9226.72,NaN,0.00,0.00,0.00,0.00
CCCM-Min m7,2,2,50,4/30/2019 10:31:45 PM,9226.72,9226.72,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,9226.72,NaN,0.00,0.00,0.00,0.00
CCCM-MxMn m7,2,2,50,4/30/2019 10:31:45 PM,9226.72,9226.72,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,9226.72,NaN,0.00,0.00,0.00,0.00
Raw Model,1,10032.422271924,70.0502,4/30/2019 10:31:45 PM,Best SSE,Mean SSE,Stdev SSE,Iters,Stdev Iters,Avg Dead, Stdev Dead,Avg Small, Stdev Small,Avg Pts,Stdev Pts,Avg C-SSE,Stdev C-SSE,Avg Rep,Stddev Rep,Avg All,Stdev All
RANDOM,2,2,50,4/30/2019 10:31:45 PM,10032.42,46064.83,67846.79,2.98,0.81,0.22,0.41,0.00,0.00,100.00,NaN,46064.83,67558.90,0.00,0.00,0.00,0.00
CLUSTER,2,2,50,4/30/2019 10:31:45 PM,10032.42,10032.42,NaN,2.04,0.20,0.00,0.00,0.00,0.00,100.00,NaN,10032.42,NaN,0.00,0.00,0.00,0.00
MaxSumK,2,2,50,4/30/2019 10:31:45 PM,10032.42,10032.42,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,10032.42,NaN,0.00,0.00,0.00,0.00
MaxiMinK,2,2,50,4/30/2019 10:31:45 PM,10032.42,10032.42,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,10032.42,NaN,0.00,0.00,0.00,0.00
CCCM-R m1,2,2,50,4/30/2019 10:31:45 PM,10032.42,10032.42,NaN,2.54,0.54,0.00,0.00,0.00,0.00,100.00,NaN,10032.42,NaN,0.00,0.00,0.00,0.00
CCCM-Min m1,2,2,50,4/30/2019 10:31:45 PM,10032.42,10032.42,NaN,2.52,0.50,0.00,0.00,0.00,0.00,100.00,NaN,10032.42,NaN,0.00,0.00,0.00,0.00
CCCM-R m2,2,2,50,4/30/2019 10:31:45 PM,10032.42,10032.42,NaN,2.04,0.20,0.00,0.00,0.00,0.00,100.00,NaN,10032.42,NaN,0.00,0.00,0.00,0.00
CCCM-Min m2,2,2,50,4/30/2019 10:31:45 PM,10032.42,10032.42,NaN,2.06,0.24,0.00,0.00,0.00,0.00,100.00,NaN,10032.42,NaN,0.00,0.00,0.00,0.00
CCCM-R m3,2,2,50,4/30/2019 10:31:45 PM,10032.42,10032.42,NaN,2.02,0.14,0.00,0.00,0.00,0.00,100.00,NaN,10032.42,NaN,0.00,0.00,0.00,0.00
CCCM-Min m3,2,2,50,4/30/2019 10:31:45 PM,10032.42,10032.42,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,10032.42,NaN,0.00,0.00,0.00,0.00
CCCM-R m4,2,2,50,4/30/2019 10:31:45 PM,10032.42,10032.42,NaN,2.02,0.14,0.00,0.00,0.00,0.00,100.00,NaN,10032.42,NaN,0.00,0.00,0.00,0.00
CCCM-Min m4,2,2,50,4/30/2019 10:31:45 PM,10032.42,10032.42,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,10032.42,NaN,0.00,0.00,0.00,0.00
CCCM-R m5,2,2,50,4/30/2019 10:31:45 PM,10032.42,10032.42,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,10032.42,NaN,0.00,0.00,0.00,0.00
CCCM-Min m5,2,2,50,4/30/2019 10:31:45 PM,10032.42,10032.42,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,10032.42,NaN,0.00,0.00,0.00,0.00
CCCM-R m6,2,2,50,4/30/2019 10:31:45 PM,10032.42,10032.42,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,10032.42,NaN,0.00,0.00,0.00,0.00
CCCM-Min m6,2,2,50,4/30/2019 10:31:45 PM,10032.42,10032.42,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,10032.42,NaN,0.00,0.00,0.00,0.00
CCCM-R m7,2,2,50,4/30/2019 10:31:45 PM,10032.42,10032.42,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,10032.42,NaN,0.00,0.00,0.00,0.00
CCCM-Min m7,2,2,50,4/30/2019 10:31:45 PM,10032.42,10032.42,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,10032.42,NaN,0.00,0.00,0.00,0.00
CCCM-MxMn m7,2,2,50,4/30/2019 10:31:45 PM,10032.42,10032.42,NaN,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,10032.42,NaN,0.00,0.00,0.00,0.00
Raw Model,1,9462.51754617512,55.0405,4/30/2019 10:31:45 PM,Best SSE,Mean SSE,Stdev SSE,Iters,Stdev Iters,Avg Dead, Stdev Dead,Avg Small, Stdev Small,Avg Pts,Stdev Pts,Avg C-SSE,Stdev C-SSE,Avg Rep,Stddev Rep,Avg All,Stdev All
RANDOM,2,2,50,4/30/2019 10:31:45 PM,9462.52,47953.73,21630.20,2.34,0.68,0.76,0.43,0.00,0.00,100.00,NaN,47953.73,21382.70,0.00,0.00,0.00,0.00
CLUSTER,2,2,50,4/30/2019 10:31:45 PM,9462.52,9462.52,0.00,2.14,0.40,0.00,0.00,0.00,0.00,100.00,NaN,9462.52,NaN,0.00,0.00,0.00,0.00
MaxSumK,2,2,50,4/30/2019 10:31:45 PM,9462.52,9462.52,0.00,2.06,0.24,0.00,0.00,0.00,0.00,100.00,NaN,9462.52,NaN,0.00,0.00,0.00,0.00
MaxiMinK,2,2,50,4/30/2019 10:31:45 PM,9462.52,9462.52,0.00,2.10,0.30,0.00,0.00,0.00,0.00,100.00,NaN,9462.52,NaN,0.00,0.00,0.00,0.00
CCCM-R m1,2,2,50,4/30/2019 10:31:45 PM,9462.52,9462.52,0.00,2.68,0.68,0.00,0.00,0.00,0.00,100.00,NaN,9462.52,NaN,0.00,0.00,0.00,0.00
CCCM-Min m1,2,2,50,4/30/2019 10:31:45 PM,9462.52,9462.52,0.00,2.66,0.76,0.00,0.00,0.00,0.00,100.00,NaN,9462.52,NaN,0.00,0.00,0.00,0.00
CCCM-R m2,2,2,50,4/30/2019 10:31:45 PM,9462.52,9462.52,0.00,2.22,0.54,0.00,0.00,0.00,0.00,100.00,NaN,9462.52,NaN,0.00,0.00,0.00,0.00
CCCM-Min m2,2,2,50,4/30/2019 10:31:45 PM,9462.52,9462.52,0.00,2.06,0.31,0.00,0.00,0.00,0.00,100.00,NaN,9462.52,NaN,0.00,0.00,0.00,0.00
CCCM-R m3,2,2,50,4/30/2019 10:31:45 PM,9462.52,9462.52,0.00,2.04,0.20,0.00,0.00,0.00,0.00,100.00,NaN,9462.52,NaN,0.00,0.00,0.00,0.00
CCCM-Min m3,2,2,50,4/30/2019 10:31:45 PM,9462.52,9462.52,0.00,2.04,0.20,0.00,0.00,0.00,0.00,100.00,NaN,9462.52,NaN,0.00,0.00,0.00,0.00
CCCM-R m4,2,2,50,4/30/2019 10:31:45 PM,9462.52,9462.52,0.00,2.06,0.24,0.00,0.00,0.00,0.00,100.00,NaN,9462.52,NaN,0.00,0.00,0.00,0.00
CCCM-Min m4,2,2,50,4/30/2019 10:31:45 PM,9462.52,9462.52,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,9462.52,NaN,0.00,0.00,0.00,0.00
CCCM-R m5,2,2,50,4/30/2019 10:31:45 PM,9462.52,9462.52,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,9462.52,NaN,0.00,0.00,0.00,0.00
CCCM-Min m5,2,2,50,4/30/2019 10:31:45 PM,9462.52,9462.52,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,9462.52,NaN,0.00,0.00,0.00,0.00
CCCM-R m6,2,2,50,4/30/2019 10:31:45 PM,9462.52,9462.52,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,9462.52,NaN,0.00,0.00,0.00,0.00
CCCM-Min m6,2,2,50,4/30/2019 10:31:45 PM,9462.52,9462.52,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,9462.52,NaN,0.00,0.00,0.00,0.00
