Multiplier,0,,Dimensions,13,,Dim Range,100,,Perplexity,Calculated,,Batch Size,50,,PPC,50,,Step,1
Raw Model,1,44549.0527843111,9.0068,5/1/2019 4:55:57 AM,Best SSE,Mean SSE,Stdev SSE,Iters,Stdev Iters,Avg Dead, Stdev Dead,Avg Small, Stdev Small,Avg Pts,Stdev Pts,Avg C-SSE,Stdev C-SSE,Avg Rep,Stddev Rep,Avg All,Stdev All
RANDOM,2,2,50,5/1/2019 4:55:57 AM,44549.05,226765.65,197426.70,2.34,0.47,0.46,0.50,0.00,0.00,100.00,NaN,226765.65,196065.23,0.00,0.00,0.00,0.00
CLUSTER,2,2,50,5/1/2019 4:55:57 AM,44549.05,44549.05,0.00,2.04,0.20,0.00,0.00,0.00,0.00,100.00,NaN,44549.05,NaN,0.00,0.00,0.00,0.00
MaxSumK,2,2,50,5/1/2019 4:55:57 AM,44549.05,44549.05,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,44549.05,NaN,0.00,0.00,0.00,0.00
MaxiMinK,2,2,50,5/1/2019 4:55:57 AM,44549.05,44549.05,0.00,2.00,0.00,0.00,0.00,0.00,0.00,100.00,NaN,44549.05,NaN,0.00,0.00,0.00,0.00
CCCM-R m1,2,2,50,5/1/2019 4:55:57 AM,44549.05,44549.05,0.00,2.62,0.49,0.00,0.00,0.00,0.00,100.00,NaN,44549.05,NaN,0.00,0.00,0.00,0.00
CCCM-Min m1,2,2,50,5/1/2019 4:55:57 AM,44549.05,44549.05,0.00,2.50,0.50,0.00,0.00,0.00,0.00,100.00,NaN,44549.05,NaN,0.00,0.00,0.00,0.00
CCCM-R m2,2,2,50,5/1/2019 4:55:57 AM,44549.05,44549.05,0.00,2.10,0.30,0.00,0.00,0.00,0.00,100.00,NaN,44549.05,NaN,0.00,0.00,0.00,0.00
CCCM-Min m2,2,2,50,5/1/2019 4:55:57 AM,44549.05,44549.05,0.00,2.10,0.30,0.00,0.00,0.00,0.00,100.00,NaN,44549.05,NaN,0.00,0.00,0.00,0.00
CCCM-R m3,2,2,50,5/1/2019 4:55:57 AM,44549.05,44549.05,0.00,2.02,0.14,0.00,0.00,0.00,0.00,100.00,NaN,44549.05,NaN,0.00,0.00,0.00,0.00
CCCM-Min m3,2,2,50,5/1/2019 4:55:57 AM,44549.05,44549.05,0.00,2.02,0.14,0.00,0.00,0.00,0.00,100.00,NaN,44549.05,NaN,0.00,0.00,0.00,0.00
